Store,Month,2014_Sales_avg_yeartoyear
11,8,-0.06
11,9,0.08
11,10,0.02
11,11,-0.02
11,12,-0.01
12,1,0.06
12,2,0.06
12,3,-0.09
12,4,0.04
12,5,0.03
12,6,0.02
12,7,0
12,8,-0.08
12,9,0.12
12,10,0.02
12,11,0.05
12,12,0.04
13,1,0.05
13,2,0.08
13,3,-0.02
13,4,0.06
13,5,0.01
13,6,0.06
13,7,-1
13,8,-1
13,9,-1
13,10,-1
13,11,-1
13,12,-1
14,1,0.05
14,2,0.02
14,3,0.01
14,4,0.04
14,5,0.05
14,6,0.06
14,7,-0.06
14,8,0.03
14,9,0.14
14,10,0.04
14,11,0.04
14,12,0.03
15,1,0.08
15,2,0.05
15,3,-0.04
15,4,0.07
15,5,0.03
15,6,0.07
15,7,-0.01
15,8,-0.03
15,9,0.06
15,10,0.04
15,11,0.04
15,12,0.07
16,1,0.12
16,2,0.13
16,3,0.01
16,4,0.12
16,5,0.14
16,6,0.05
16,7,0.03
16,8,0
16,9,0.05
16,10,0.06
16,11,0.1
16,12,0.11
17,1,0
17,2,-0.01
17,3,-0.11
17,4,0.02
17,5,-0.03
17,6,0.08
17,7,-0.09
17,8,-0.06
17,9,0.09
17,10,0.03
17,11,0.08
17,12,0.02
18,1,0.11
18,2,0.1
18,3,-0.01
18,4,0.12
18,5,0.08
18,6,0.13
18,7,0.02
18,8,-0.02
18,9,0.17
18,10,0.1
18,11,0.08
18,12,0.09
19,1,0.09
19,2,0.08
19,3,0.04
19,4,0.13
19,5,0.11
19,6,0.1
19,7,0.03
19,8,0.09
19,9,0.16
19,10,0.11
19,11,0.16
19,12,0.1
20,1,0.04
20,2,0.14
20,3,0.07
20,4,-0.04
20,5,0.09
20,6,0.03
20,7,-1
20,8,-1
20,9,-1
20,10,-1
20,11,-1
20,12,-1
21,1,0.03
21,2,0.14
21,3,-0.02
21,4,0.08
21,5,0.13
21,6,0.1
21,7,0.01
21,8,0.09
21,9,0.1
21,10,0
21,11,0.13
21,12,0.04
22,1,0.03
22,2,0.01
22,3,-0.03
22,4,0.05
22,5,0.05
22,6,0.02
22,7,-1
22,8,-1
22,9,-1
22,10,-1
22,11,-1
22,12,-1
23,1,0.02
23,2,0
23,3,-0.05
23,4,0.07
23,5,0
23,6,0.07
23,7,0.01
23,8,-0.03
23,9,0.07
23,10,0.02
23,11,0
23,12,-0.02
24,1,0.09
24,2,0.04
24,3,-0.06
24,4,0.01
24,5,-0.02
24,6,0.03
24,7,-0.04
24,8,0.02
24,9,0.13
24,10,0.06
24,11,0.04
24,12,0.05
25,1,-0.58
25,2,-0.27
25,3,-0.15
25,4,-0.22
25,5,-0.14
25,6,-0.03
25,7,-0.09
25,8,-0.05
25,9,0.02
25,10,-0.01
25,11,-0.04
25,12,-0.03
26,1,0.04
26,2,0.08
26,3,-0.09
26,4,0.08
26,5,0.01
26,6,0.13
26,7,-0.01
26,8,0
26,9,0.15
26,10,0.11
26,11,0.13
26,12,0.02
27,1,0.04
27,2,0.06
27,3,0
27,4,0.05
27,5,0.05
27,6,0.14
27,7,-0.06
27,8,-0.02
27,9,0.13
27,10,0.03
27,11,0.09
27,12,-0.02
28,1,-0.04
28,2,0
28,3,-0.08
28,4,0.06
28,5,0.02
28,6,0.04
28,7,-0.03
28,8,-0.08
28,9,0.1
28,10,-0.08
28,11,-0.25
28,12,-0.18
29,1,0.18
29,2,0.15
29,3,0.09
29,4,0.19
29,5,0.28
29,6,0.24
29,7,0.1
29,8,0.14
29,9,0.28
29,10,0.16
29,11,0.22
29,12,0.19
30,1,-0.06
30,2,0
30,3,-0.22
30,4,-0.2
30,5,-0.18
30,6,-0.16
30,7,-0.24
30,8,-0.19
30,9,-0.12
30,10,-0.13
30,11,-0.14
30,12,-0.19
31,1,0.02
31,2,-0.01
31,3,-0.12
31,4,0.08
31,5,0.03
31,6,0.01
31,7,-0.03
31,8,-0.02
31,9,0.13
31,10,0.09
31,11,0.08
31,12,0.04
32,1,0.01
32,2,0.05
32,3,0.02
32,4,0.08
32,5,0.05
32,6,0.07
32,7,-1
32,8,-1
32,9,-1
32,10,-1
32,11,-1
32,12,-1
33,1,-0.05
33,2,-0.06
33,3,-0.15
33,4,-0.09
33,5,0.01
33,6,0
33,7,-0.05
33,8,-0.02
33,9,0.03
33,10,0.01
33,11,0.04
33,12,0.02
34,1,-0.01
34,2,0.01
34,3,-0.03
34,4,-0.01
34,5,0.05
34,6,0
34,7,0.07
34,8,-0.04
34,9,0.09
34,10,0.07
34,11,0.06
34,12,0.05
35,1,0.15
35,2,0.1
35,3,0.01
35,4,0.06
35,5,0.15
35,6,0.16
35,7,0.02
35,8,0.04
35,9,0.15
35,10,0.05
35,11,0.12
35,12,0.1
36,1,-0.04
36,2,0
36,3,-0.08
36,4,-0.03
36,5,0.06
36,6,-0.05
36,7,-1
36,8,-1
36,9,-1
36,10,-1
36,11,-1
36,12,-1
37,1,-0.05
37,2,-0.07
37,3,-0.16
37,4,-0.01
37,5,-0.03
37,6,-0.04
37,7,-0.12
37,8,-0.09
37,9,0.01
37,10,-0.01
37,11,-0.09
37,12,-0.03
38,1,0.04
38,2,0.03
38,3,-0.07
38,4,0.03
38,5,0.03
38,6,-0.01
38,7,-0.11
38,8,-0.01
38,9,0.14
38,10,0.08
38,11,0.12
38,12,0.02
39,1,0.15
39,2,0.19
39,3,0.06
39,4,0.18
39,5,0.15
39,6,0.2
39,7,0.05
39,8,-0.03
39,9,0.12
39,10,0.08
39,11,0.1
39,12,-0.01
40,1,0.05
40,2,0.08
40,3,-0.06
40,4,-0.02
40,5,0.02
40,6,0.01
40,7,0.02
40,8,0.02
40,9,0.05
40,10,0.06
40,11,-0.05
40,12,-0.13
41,1,0.34
41,2,0.31
41,3,0.22
41,4,0.42
41,5,0.29
41,6,0.28
41,7,-1
41,8,-1
41,9,-1
41,10,-1
41,11,-1
41,12,-1
42,1,0.1
42,2,0.07
42,3,0.01
42,4,0.05
42,5,0.09
42,6,0.08
42,7,0.01
42,8,0.04
42,9,0.13
42,10,0.04
42,11,0.08
42,12,0.07
43,1,0
43,2,0
43,3,-0.07
43,4,-0.01
43,5,0
43,6,0.05
43,7,-0.08
43,8,-0.03
43,9,0.11
43,10,0
43,11,-0.03
43,12,-0.09
44,1,0.05
44,2,0.05
44,3,0
44,4,0.07
44,5,0.02
44,6,0.1
44,7,0.09
44,8,0.1
44,9,0.27
44,10,0.06
44,11,0.04
44,12,-0.05
45,1,-0.01
45,2,-0.06
45,3,-0.13
45,4,-0.02
45,5,-0.05
45,6,-0.05
45,7,-0.09
45,8,-0.11
45,9,0.02
45,10,0.01
45,11,0.05
45,12,0.01
46,1,0.04
46,2,0.07
46,3,0.01
46,4,0.07
46,5,0.09
46,6,0.09
46,7,-1
46,8,-1
46,9,-1
46,10,-1
46,11,-1
46,12,-1
47,1,-0.03
47,2,-0.02
47,3,-0.11
47,4,0.08
47,5,0.07
47,6,0.08
47,7,0.03
47,8,0.03
47,9,0.21
47,10,0.14
47,11,0.15
47,12,0.12
48,1,-0.05
48,2,-0.08
48,3,-0.08
48,4,-0.04
48,5,-0.02
48,6,-0.2
48,7,-0.19
48,8,-0.19
48,9,-0.02
48,10,-0.1
48,11,-0.08
48,12,-0.06
49,1,0.08
49,2,0.1
49,3,-0.05
49,4,0.14
49,5,0.13
49,6,0.1
49,7,0.04
49,8,0.02
49,9,0.16
49,10,0.12
49,11,0.07
49,12,0.1
50,1,0.03
50,2,0.03
50,3,-0.11
50,4,0
50,5,0.04
50,6,0.03
50,7,-0.04
50,8,-0.04
50,9,0.05
50,10,0.06
50,11,0.05
50,12,0.03
51,1,0.08
51,2,0.08
51,3,0
51,4,0.11
51,5,0.1
51,6,0.06
51,7,-1
51,8,-1
51,9,-1
51,10,-1
51,11,-1
51,12,-1
52,1,0.09
52,2,0.13
52,3,0.02
52,4,-0.08
52,5,-0.16
52,6,-0.14
52,7,-1
52,8,-1
52,9,-1
52,10,-1
52,11,-1
52,12,-1
53,1,0
53,2,0
53,3,-0.13
53,4,0.07
53,5,0.02
53,6,0.01
53,7,-0.03
53,8,-0.07
53,9,0.08
53,10,0.1
53,11,0.04
53,12,0.05
54,1,0.03
54,2,-0.02
54,3,-0.15
54,4,0.08
54,5,0.06
54,6,-0.01
54,7,-0.05
54,8,-0.01
54,9,0.06
54,10,0.05
54,11,0.02
54,12,0.03
55,1,-0.07
55,2,-0.07
55,3,0.01
55,4,0.37
55,5,0.38
55,6,0.44
55,7,0.3
55,8,0.23
55,9,0.43
55,10,0.47
55,11,0.15
55,12,0.08
56,1,-0.06
56,2,-0.04
56,3,-0.07
56,4,0.03
56,5,0.11
56,6,0.13
56,7,0.25
56,8,0.22
56,9,0.4
56,10,0.25
56,11,0.24
56,12,0.24
57,1,0.02
57,2,0.06
57,3,-0.08
57,4,0.09
57,5,0.03
57,6,0.03
57,7,-0.31
57,8,-0.29
57,9,-0.15
57,10,-0.19
57,11,-0.19
57,12,-0.19
58,1,0.14
58,2,0.16
58,3,0.1
58,4,0.15
58,5,0.2
58,6,0.2
58,7,-1
58,8,-1
58,9,-1
58,10,-1
58,11,-1
58,12,-1
59,1,0.06
59,2,0.02
59,3,-0.03
59,4,0.04
59,5,-0.01
59,6,0.09
59,7,-0.04
59,8,-0.09
59,9,0.07
59,10,0.03
59,11,0.03
59,12,-0.01
60,1,0.13
60,2,0.15
60,3,-0.01
60,4,0.22
60,5,0.15
60,6,0.22
60,7,0.1
60,8,0.05
60,9,0.15
60,10,0.11
60,11,0.05
60,12,0.14
61,1,0.21
61,2,0.35
61,3,0.16
61,4,0.22
61,5,0.27
61,6,0.25
61,7,0.25
61,8,0.18
61,9,0.23
61,10,0.08
61,11,0.05
61,12,0.06
62,1,0.04
62,2,0.06
62,3,0
62,4,0.05
62,5,0
62,6,0.04
62,7,-0.07
62,8,-0.02
62,9,0.08
62,10,0.01
62,11,0.05
62,12,0.04
63,1,0.1
63,2,0.09
63,3,-0.03
63,4,0.14
63,5,0.12
63,6,0.05
63,7,0.03
63,8,0.06
63,9,0.18
63,10,0.12
63,11,0.09
63,12,0.11
64,1,0.26
64,2,0.22
64,3,0.14
64,4,0.19
64,5,0.16
64,6,0.17
64,7,0.05
64,8,0.07
64,9,0.17
64,10,0.11
64,11,0.09
64,12,0.1
65,1,0.04
65,2,0.05
65,3,-0.1
65,4,0.15
65,5,0.06
65,6,0.06
65,7,-0.07
65,8,-0.14
65,9,0.12
65,10,0.01
65,11,-0.01
65,12,0.05
66,1,0.02
66,2,0
66,3,-0.09
66,4,0.03
66,5,0.05
66,6,0
66,7,-0.04
66,8,-0.02
66,9,0.07
66,10,0.05
66,11,0.09
66,12,0.03
67,1,0.03
67,2,0.07
67,3,-0.03
67,4,0.04
67,5,0.1
67,6,0.05
67,7,-0.01
67,8,0.01
67,9,0.09
67,10,0.06
67,11,0.08
67,12,0.05
68,1,0.07
68,2,0.06
68,3,-0.07
68,4,0.12
68,5,0.08
68,6,0
68,7,0.03
68,8,0.01
68,9,0.08
68,10,0.13
68,11,0.07
68,12,0.11
69,1,-0.03
69,2,-0.03
69,3,-0.15
69,4,-0.02
69,5,0.01
69,6,-0.04
69,7,-0.08
69,8,-0.08
69,9,0
69,10,-0.03
69,11,-0.02
69,12,-0.02
70,1,0.05
70,2,0.01
70,3,-0.06
70,4,0.05
70,5,0.06
70,6,0
70,7,0.01
70,8,-0.05
70,9,0.11
70,10,0.05
70,11,0.01
70,12,0.03
71,1,0.07
71,2,0.02
71,3,-0.04
71,4,0.06
71,5,0.06
71,6,0.06
71,7,-0.02
71,8,-0.04
71,9,0.08
71,10,0.04
71,11,0.05
71,12,0.01
72,1,0.04
72,2,0.05
72,3,0.02
72,4,0.06
72,5,0.08
72,6,0.14
72,7,-1
72,8,-1
72,9,-1
72,10,-1
72,11,-1
72,12,-1
73,1,0.07
73,2,0.1
73,3,-0.07
73,4,0.08
73,5,0.02
73,6,0.07
73,7,0.01
73,8,-0.07
73,9,0.08
73,10,0.05
73,11,0.04
73,12,0.08
74,1,-0.02
74,2,0.02
74,3,-0.09
74,4,0.02
74,5,0.02
74,6,0.02
74,7,-0.05
74,8,-0.01
74,9,0.12
74,10,0.05
74,11,0.08
74,12,0.01
75,1,0.06
75,2,0.02
75,3,-0.09
75,4,0.12
75,5,0.05
75,6,0.02
75,7,0.03
75,8,-0.04
75,9,0.13
75,10,0.07
75,11,0.02
75,12,0.08
76,1,0.07
76,2,0.09
76,3,-0.03
76,4,0.07
76,5,0.11
76,6,0.07
76,7,-1
76,8,-1
76,9,-1
76,10,-1
76,11,-1
76,12,-1
77,1,0.04
77,2,-0.01
77,3,0
77,4,0.12
77,5,0.1
77,6,0.1
77,7,0.05
77,8,-0.05
77,9,0.24
77,10,0.11
77,11,0.13
77,12,0.12
78,1,0.07
78,2,-0.02
78,3,-0.07
78,4,0.09
78,5,0.05
78,6,0.2
78,7,0.03
78,8,-0.03
78,9,0.1
78,10,0.04
78,11,0.04
78,12,0.02
79,1,0.08
79,2,0.02
79,3,-0.02
79,4,0.04
79,5,0.08
79,6,0.01
79,7,-0.04
79,8,-0.01
79,9,0.09
79,10,0.05
79,11,0.06
79,12,0.04
80,1,0.1
80,2,0.07
80,3,-0.03
80,4,0.03
80,5,0.04
80,6,0
80,7,-0.04
80,8,-0.04
80,9,0.04
80,10,0.04
80,11,0.07
80,12,0.04
81,1,0.04
81,2,0.09
81,3,0.02
81,4,0.06
81,5,0.11
81,6,0.03
81,7,-1
81,8,-1
81,9,-1
81,10,-1
81,11,-1
81,12,-1
82,1,0.02
82,2,0.02
82,3,-0.06
82,4,0.08
82,5,0.09
82,6,0.13
82,7,0.01
82,8,0.02
82,9,0.13
82,10,0.03
82,11,0.06
82,12,0.01
83,1,-0.01
83,2,-0.02
83,3,-0.07
83,4,-0.01
83,5,0
83,6,0.04
83,7,-0.1
83,8,0.01
83,9,0.1
83,10,0.08
83,11,0.05
83,12,0.05
84,1,0.05
84,2,0.04
84,3,-0.05
84,4,0.06
84,5,0.06
84,6,0.06
84,7,-0.06
84,8,0.04
84,9,0.08
84,10,0.03
84,11,0.04
84,12,0.04
85,1,0
85,2,-0.04
85,3,-0.12
85,4,0.04
85,5,-0.04
85,6,0.05
85,7,0.05
85,8,0.04
85,9,0.02
85,10,0.1
85,11,0.07
85,12,0
86,1,0.16
86,2,0.12
86,3,0.02
86,4,0.13
86,5,0.06
86,6,0.12
86,7,-0.03
86,8,-0.13
86,9,0.06
86,10,-0.04
86,11,0.05
86,12,-0.04
87,1,-0.01
87,2,0
87,3,0
87,4,0.05
87,5,0
87,6,0.08
87,7,0.01
87,8,-0.04
87,9,0.12
87,10,0
87,11,0
87,12,-0.05
88,1,0.01
88,2,-0.01
88,3,-0.04
88,4,0.03
88,5,0.01
88,6,0.06
88,7,-0.07
88,8,-0.07
88,9,0.09
88,10,0.04
88,11,0.02
88,12,-0.01
89,1,0.01
89,2,0.07
89,3,-0.04
89,4,0.03
89,5,0.03
89,6,-0.02
89,7,-1
89,8,-1
89,9,-1
89,10,-1
89,11,-1
89,12,-1
90,1,0.1
90,2,0.09
90,3,-0.03
90,4,0.05
90,5,0.06
90,6,0.07
90,7,0.01
90,8,0.02
90,9,0.13
90,10,0.06
90,11,0.09
90,12,0
91,1,0.3
91,2,0.31
91,3,0.26
91,4,0.37
91,5,0.39
91,6,0.41
91,7,0.27
91,8,0.29
91,9,0.38
91,10,-0.05
91,11,-0.25
91,12,-0.3
92,1,0.06
92,2,0.08
92,3,-0.06
92,4,0.05
92,5,0.1
92,6,0.18
92,7,0.05
92,8,0.09
92,9,0.27
92,10,0.15
92,11,0.16
92,12,0.13
93,1,0.03
93,2,0.02
93,3,-0.07
93,4,0.01
93,5,-0.01
93,6,0.02
93,7,-0.1
93,8,-0.06
93,9,0.06
93,10,-0.05
93,11,0
93,12,-0.02
94,1,0.04
94,2,-0.07
94,3,0
94,4,0.05
94,5,0.05
94,6,0.11
94,7,-0.01
94,8,-0.02
94,9,0.1
94,10,0.04
94,11,0.07
94,12,0.05
95,1,0.02
95,2,0.02
95,3,-0.05
95,4,0.11
95,5,0.05
95,6,0.01
95,7,-0.1
95,8,-0.08
95,9,0.1
95,10,-0.07
95,11,-0.1
95,12,-0.11
96,1,0.06
96,2,0.05
96,3,-0.06
96,4,0.04
96,5,0.01
96,6,0.19
96,7,0.03
96,8,-0.04
96,9,0.11
96,10,0.05
96,11,0.09
96,12,0.01
97,1,0.02
97,2,0.03
97,3,-0.06
97,4,0.08
97,5,0.05
97,6,0.12
97,7,-0.01
97,8,-0.05
97,9,0.12
97,10,0.05
97,11,0.08
97,12,0.06
98,1,0.2
98,2,0.13
98,3,0.04
98,4,0.12
98,5,0.13
98,6,0.13
98,7,0.01
98,8,0.04
98,9,0.21
98,10,0.17
98,11,0.15
98,12,0.09
99,1,0.2
99,2,0.21
99,3,0.07
99,4,0.18
99,5,0.25
99,6,0.22
99,7,-1
99,8,-1
99,9,-1
99,10,-1
99,11,-1
99,12,-1
100,1,0.03
100,2,0.05
100,3,0.01
100,4,0.06
100,5,0.11
100,6,0.08
100,7,-1
100,8,-1
100,9,-1
100,10,-1
100,11,-1
100,12,-1
101,1,0.07
101,2,0.05
101,3,-0.02
101,4,0.14
101,5,0.06
101,6,0.09
101,7,0.1
101,8,-0.02
101,9,0.15
101,10,0.1
101,11,0.06
101,12,0.08
102,1,-0.1
102,2,-0.03
102,3,0.05
102,4,0.16
102,5,0.13
102,6,0.16
102,7,-0.33
102,8,0.11
102,9,0.2
102,10,-0.02
102,11,0.12
102,12,-0.01
103,1,
103,2,
103,3,
103,4,
103,5,
103,6,
103,7,-0.05
103,8,0.06
103,9,0.21
103,10,0.16
103,11,0.16
103,12,0.1
104,1,0.05
104,2,0.07
104,3,0.03
104,4,0.04
104,5,0.05
104,6,0.05
104,7,0.08
104,8,-0.04
104,9,0.08
104,10,0.03
104,11,0.01
104,12,0.03
105,1,1.09
105,2,1.35
105,3,1.34
105,4,2.05
105,5,0.17
105,6,0.14
105,7,0.13
105,8,0.08
105,9,0.19
105,10,0.22
105,11,0.19
105,12,0.14
106,1,-0.08
106,2,-0.04
106,3,-0.12
106,4,0
106,5,-0.05
106,6,-0.03
106,7,0.02
106,8,-0.09
106,9,0.08
106,10,0.05
106,11,0.03
106,12,0.08
107,1,0.06
107,2,0.06
107,3,0.05
107,4,0.04
107,5,0.08
107,6,0.03
107,7,0.09
107,8,-0.04
107,9,0.12
107,10,0.08
107,11,0.04
107,12,0.07
108,1,0.2
108,2,0.24
108,3,0.14
108,4,0.15
108,5,0.15
108,6,0.09
108,7,-1
108,8,-1
108,9,-1
108,10,-1
108,11,-1
108,12,-1
109,1,0.04
109,2,0.02
109,3,-0.05
109,4,0.07
109,5,0.05
109,6,0.05
109,7,0.02
109,8,-0.06
109,9,0.13
109,10,0.04
109,11,0.01
109,12,0.05
110,1,-0.05
110,2,0
110,3,-0.14
110,4,0.02
110,5,-0.04
110,6,-0.02
110,7,-0.09
110,8,-0.01
110,9,0.07
110,10,0.01
110,11,-0.01
110,12,-0.01
111,1,0.05
111,2,0.05
111,3,-0.06
111,4,0.07
111,5,0.07
111,6,0.11
111,7,0
111,8,-0.07
111,9,0.1
111,10,0.01
111,11,-0.03
111,12,0.02
112,1,0.03
112,2,0.04
112,3,0.03
112,4,0.03
112,5,0.08
112,6,0.01
112,7,0.08
112,8,-0.01
112,9,0.06
112,10,0.05
112,11,-0.02
112,12,0.02
113,1,0.16
113,2,0.1
113,3,0.04
113,4,0.06
113,5,-0.17
113,6,-0.18
113,7,-1
113,8,-1
113,9,-1
113,10,-1
113,11,-1
113,12,-1
114,1,0.05
114,2,0.03
114,3,-0.02
114,4,0.08
114,5,0.02
114,6,0.08
114,7,-0.02
114,8,-0.06
114,9,0.06
114,10,0.04
114,11,0
114,12,-0.03
115,1,0.15
115,2,0.15
115,3,0.06
115,4,0.15
115,5,0.13
115,6,0.17
115,7,-1
115,8,-1
115,9,-1
115,10,-1
115,11,-1
115,12,-1
116,1,-0.1
116,2,-0.1
116,3,-0.14
116,4,-0.1
116,5,-0.07
116,6,0
116,7,-0.02
116,8,-0.13
116,9,0.1
116,10,-0.01
116,11,0.05
116,12,0.06
117,1,0
117,2,0
117,3,-0.03
117,4,0.02
117,5,0.02
117,6,-0.02
117,7,-0.07
117,8,0
117,9,0.05
117,10,0.03
117,11,0.1
117,12,0.05
118,1,0.17
118,2,0.14
118,3,0.05
118,4,0.23
118,5,0.11
118,6,0.17
118,7,0.08
118,8,0.03
118,9,0.19
118,10,0.11
118,11,0.11
118,12,0.08
119,1,0.06
119,2,0.04
119,3,-0.03
119,4,0.05
119,5,0.04
119,6,0.05
119,7,0.02
119,8,-0.07
119,9,0.1
119,10,0.04
119,11,0.02
119,12,0.06
120,1,0.03
120,2,0
120,3,-0.07
120,4,0.01
120,5,0.01
120,6,0.04
120,7,-0.03
120,8,-0.08
120,9,0.1
120,10,0.06
120,11,0.05
120,12,0.03
121,1,-0.05
121,2,0
121,3,-0.12
121,4,0.03
121,5,0.07
121,6,0.07
121,7,0.01
121,8,0
121,9,0.04
121,10,0.01
121,11,-0.02
121,12,0
122,1,0.04
122,2,0.07
122,3,-0.07
122,4,0.21
122,5,0.01
122,6,0.09
122,7,-0.05
122,8,0.11
122,9,0.08
122,10,0.05
122,11,0.03
122,12,0.04
123,1,-0.05
123,2,-0.01
123,3,-0.09
123,4,0.06
123,5,0.01
123,6,0.08
123,7,-0.03
123,8,-0.01
123,9,-0.1
123,10,-0.02
123,11,0.01
123,12,-0.04
124,1,0.08
124,2,-0.01
124,3,-0.1
124,4,-0.05
124,5,-0.04
124,6,0.07
124,7,0
124,8,0.05
124,9,0.25
124,10,0.15
124,11,0.18
124,12,0.16
125,1,-0.04
125,2,-0.01
125,3,-0.06
125,4,-0.01
125,5,-0.06
125,6,-0.03
125,7,0.01
125,8,-0.07
125,9,0.09
125,10,0.03
125,11,0.01
125,12,0.01
126,1,-0.05
126,2,-0.13
126,3,-0.31
126,4,-0.12
126,5,-0.11
126,6,0.01
126,7,-0.1
126,8,-0.34
126,9,-0.45
126,10,-0.53
126,11,-0.05
126,12,-0.06
127,1,0.02
127,2,0.05
127,3,-0.04
127,4,0.02
127,5,0.1
127,6,0.06
127,7,-1
127,8,-1
127,9,-1
127,10,-1
127,11,-1
127,12,-1
128,1,0.35
128,2,0.38
128,3,0.22
128,4,0.29
128,5,0.31
128,6,0.28
128,7,0.17
128,8,0.08
128,9,0.28
128,10,0.11
128,11,0.13
128,12,0.15
129,1,0.02
129,2,0.04
129,3,-0.04
129,4,-0.02
129,5,0.06
129,6,0.08
129,7,-1
129,8,-1
129,9,-1
129,10,-1
129,11,-1
129,12,-1
130,1,0.02
130,2,0.02
130,3,-0.02
130,4,0.04
130,5,0.08
130,6,0.07
130,7,0.08
130,8,-0.01
130,9,0.1
130,10,0.04
130,11,0.06
130,12,0.06
131,1,0.07
131,2,0.04
131,3,-0.19
131,4,-0.17
131,5,-0.14
131,6,-0.19
131,7,-0.24
131,8,-0.22
131,9,-0.11
131,10,-0.15
131,11,-0.14
131,12,-0.17
132,1,0.29
132,2,0.33
132,3,0.18
132,4,0.29
132,5,0.33
132,6,0.18
132,7,-1
132,8,-1
132,9,-1
132,10,-1
132,11,-1
132,12,-1
133,1,-0.2
133,2,-0.2
133,3,-0.23
133,4,-0.16
133,5,-0.16
133,6,-0.14
133,7,-0.23
133,8,-0.1
133,9,0.24
133,10,0.1
133,11,0.15
133,12,0.03
134,1,-0.02
134,2,-0.03
134,3,-0.05
134,4,0.02
134,5,-0.01
134,6,0.04
134,7,0.08
134,8,-0.09
134,9,0.03
134,10,-0.01
134,11,-0.04
134,12,0.01
135,1,0.05
135,2,0.04
135,3,0.03
135,4,0.09
135,5,0.1
135,6,0.05
135,7,0.03
135,8,-0.02
135,9,0.13
135,10,0.08
135,11,0.06
135,12,0.02
136,1,0.56
136,2,0.49
136,3,0.35
136,4,0.5
136,5,0.48
136,6,0.46
136,7,-1
136,8,-1
136,9,-1
136,10,-1
136,11,-1
136,12,-1
137,1,0.08
137,2,0.08
137,3,-0.01
137,4,0.04
137,5,0.09
137,6,0.02
137,7,-1
137,8,-1
137,9,-1
137,10,-1
137,11,-1
137,12,-1
138,1,0.05
138,2,0.11
138,3,-0.04
138,4,0.11
138,5,0.08
138,6,0.16
138,7,0.04
138,8,-0.03
138,9,0.19
138,10,0.07
138,11,0.07
138,12,0.07
139,1,0.02
139,2,0.03
139,3,-0.03
139,4,0.03
139,5,0.09
139,6,0.03
139,7,-1
139,8,-1
139,9,-1
139,10,-1
139,11,-1
139,12,-1
140,1,0.02
140,2,0.05
140,3,-0.05
140,4,0.05
140,5,0.05
140,6,0
140,7,-0.03
140,8,-0.09
140,9,0.18
140,10,0.05
140,11,0.12
140,12,0.03
141,1,-0.01
141,2,0
141,3,-0.11
141,4,0.02
141,5,0.01
141,6,0.02
141,7,-0.1
141,8,-0.08
141,9,0.01
141,10,0
141,11,0.02
141,12,0.02
142,1,0.02
142,2,0.01
142,3,-0.02
142,4,0.02
142,5,0.02
142,6,0.03
142,7,-0.09
142,8,-0.04
142,9,0.09
142,10,0.02
142,11,0.02
142,12,0.03
143,1,0.11
143,2,0.11
143,3,0.02
143,4,0.1
143,5,0.09
143,6,0.07
143,7,0.03
143,8,0
143,9,0.25
143,10,0.23
143,11,0.16
143,12,0.05
144,1,0.01
144,2,0.04
144,3,-0.08
144,4,0.09
144,5,-0.02
144,6,0.01
144,7,-1
144,8,-1
144,9,-1
144,10,-1
144,11,-1
